Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",TJ Brown,TJ Brown,Erik Silva,0-0,24-21,2-3,1-0,Featherweight,SUB-Arm-Triangle,3,3:41
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Cameron Saaiman,Cameron Saaiman,Steven Koslow,0-0,53-11,0-5,0-1,Bantamweight,KO/TKO-Punches,3,4:13
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Stephen Thompson,Stephen Thompson,Kevin Holland,0-0,163-119,0-2,0-0,Welterweight,KO/TKO,4,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Rafael Dos Anjos,Rafael Dos Anjos,Bryan Barberena,0-0,20-14,4-0,2-0,Welterweight,SUB-Rear-Naked-Choke,2,3:20
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Matheus Nicolau,Matheus Nicolau,Matt Schnell,2-0,32-20,1-0,0-0,Flyweight,KO/TKO-Punch,2,1:44
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Sergei Pavlovich,Sergei Pavlovich,Tai Tuivasa,2-0,23-2,0-0,0-0,Heavyweight,KO/TKO-Punches,1,0:54
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Roman Dolidze,Roman Dolidze,Jack Hermansson,0-0,25-47,0-2,3-0,Middleweight,KO/TKO-Punches,2,4:06
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Eryk Anders,Eryk Anders,Kyle Daukaus,1-0,49-37,1-0,0-0,Middleweight,KO/TKO-Punches,2,2:45
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Phil Rowe,Phil Rowe,Niko Price,0-0,63-110,1-0,2-0,Welterweight,KO/TKO-Punches,3,3:26
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Angela Hill,Angela Hill,Emily Ducote,0-0,182-71,0-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Clay Guida,Clay Guida,Scott Holtzman,0-0,66-65,4-0,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Michael Johnson,Michael Johnson,Marc Diakiese,0-0,83-55,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Jonathan Pearce,Jonathan Pearce,Darren Elkins,0-0,110-57,2-2,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Natan Levy,Natan Levy,Genaro Valdez,0-0,67-49,6-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Francis Marshall,Francis Marshall,Marcelo Rojo,1-0,23-31,1-0,0-0,Featherweight,KO/TKO-Punch,2,1:14
UFC Fight Night: Thompson vs. Holland,"December 03, 2022",Yazmin Jauregui,Yazmin Jauregui,Istela Nunes,2-1,67-36,0-0,0-0,Women's Strawweight,KO/TKO-Punches,2,4:06
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Kennedy Nzechukwu,Kennedy Nzechukwu,Ion Cutelaba,1-0,24-9,0-2,0-0,Light Heavyweight,KO/TKO-Knee,2,1:02
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Waldo Cortes-Acosta,Waldo Cortes-Acosta,Chase Sherman,0-0,147-66,0-1,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Muslim Salikhov,Muslim Salikhov,Andre Fialho,0-0,56-17,1-0,0-0,Welterweight,KO/TKO-Kick,3,1:03
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Jack Della Maddalena,Jack Della Maddalena,Danny Roberts,2-0,33-5,0-0,0-0,Welterweight,KO/TKO-Punches,1,3:24
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Charles Johnson,Charles Johnson,Zhalgas Zhumagulov,0-0,115-119,0-1,0-0,Flyweight,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Jennifer Maia,Jennifer Maia,Maryna Moroz,0-0,109-80,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Miles Johns,Miles Johns,Vince Morales,0-0,38-39,1-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Ricky Turcios,Ricky Turcios,Kevin Natividad,0-1,68-41,2-7,1-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Vanessa Demopoulos,Vanessa Demopoulos,Maria Oliveira,1-0,55-83,2-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Brady Hiestand,Brady Hiestand,Fernie Garcia,0-0,19-21,3-1,1-1,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Nzechukwu vs. Cutelaba,"November 19, 2022",Natalia Silva,Natalia Silva,Tereza Bleda,1-0,45-18,0-1,0-2,Women's Flyweight,KO/TKO-Spinning-Back-Kick,3,1:27
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Alex Pereira,Alex Pereira,Israel Adesanya,0-0,91-86,1-1,0-0,Middleweight,KO/TKO-Punches,5,2:01
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Zhang Weili,Zhang Weili,Carla Esparza,0-0,37-6,0-1,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,2,1:05
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Dustin Poirier,Dustin Poirier,Michael Chandler,0-0,38-43,0-3,2-0,Lightweight,SUB-Rear-Naked-Choke,3,2:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Chris Gutierrez,Chris Gutierrez,Frankie Edgar,1-0,10-2,0-0,0-0,Bantamweight,KO/TKO-Knee,1,2:01
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Dan Hooker,Dan Hooker,Claudio Puelles,1-0,29-5,0-0,1-1,Lightweight,KO/TKO-Kick,2,4:06
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Renato Moicano,Renato Moicano,Brad Riddell,0-0,10-14,0-0,1-0,Lightweight,SUB-Rear-Naked-Choke,1,3:20
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Ryan Spann,Ryan Spann,Dominick Reyes,1-0,8-5,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:20
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Erin Blanchfield,Erin Blanchfield,Molly McCann,0-0,25-7,1-0,2-0,Women's Flyweight,SUB-Kimura,1,3:37
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Andre Petroski,Andre Petroski,Wellington Turman,0-0,42-41,8-1,2-1,Middleweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Matt Frevola,Matt Frevola,Ottman Azaitar,1-0,11-10,0-0,0-0,Lightweight,KO/TKO-Punch,1,2:30
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Karolina Kowalkiewicz,Karolina Kowalkiewicz,Silvana Gomez Juarez,0-0,74-77,2-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Michael Trizano,Michael Trizano,SeungWoo Choi,2-1,32-26,0-0,0-0,Featherweight,KO/TKO-Punch,1,4:51
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Montel Jackson,Montel Jackson,Julio Arce,1-0,48-26,0-1,0-0,Bantamweight,U-DEC,3,5:00
UFC 281: Adesanya vs. Pereira,"November 12, 2022",Carlos Ulberg,Carlos Ulberg,Nicolae Negumereanu,1-0,14-2,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,3:44
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Amanda Lemos,Amanda Lemos,Marina Rodriguez,0-0,29-19,1-0,1-0,Women's Strawweight,KO/TKO-Punches,3,0:54
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Neil Magny,Neil Magny,Daniel Rodriguez,0-0,57-66,5-0,1-0,Welterweight,SUB-D'Arce-Choke,3,3:33
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Shayilan Nuerdanbieke,Shayilan Nuerdanbieke,Darrick Minner,1-0,19-5,0-0,0-0,Featherweight,KO/TKO-Elbows,1,1:07
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Tagir Ulanbekov,Tagir Ulanbekov,Nate Maness,0-0,4-4,1-0,1-0,Flyweight,SUB-Guillotine-Choke,1,2:11
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Grant Dawson,Grant Dawson,Mark Madsen,1-0,33-15,2-0,2-0,Lightweight,SUB-Rear-Naked-Choke,3,2:05
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Miranda Maverick,Miranda Maverick,Shanna Young,0-0,63-29,5-0,1-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Mario Bautista,Mario Bautista,Benito Lopez,0-0,44-17,1-0,3-0,Bantamweight,SUB-Triangle-Armbar,1,4:54
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Polyana Viana,Polyana Viana,Jinh Yu Frey,1-0,11-6,0-0,0-0,Women's Strawweight,KO/TKO-Punches,1,0:47
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Johnny Munoz,Johnny Munoz,Liudvik Sholinian,0-0,78-56,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Jake Hadley,Jake Hadley,Carlos Candelario,0-0,90-69,0-1,1-0,Flyweight,SUB-Triangle-Choke,2,2:39
UFC Fight Night: Rodriguez vs. Lemos,"November 05, 2022",Tamires Vidal,Tamires Vidal,Ramona Pascual,1-0,17-13,0-0,0-0,Women's Bantamweight,KO/TKO-Flying-Knee,1,3:06
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Arnold Allen,Arnold Allen,Calvin Kattar,0-0,28-14,0-0,0-0,Featherweight,KO/TKO,2,0:08
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Max Griffin,Max Griffin,Tim Means,1-0,42-47,3-3,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Waldo Cortes-Acosta,Waldo Cortes-Acosta,Jared Vanderaa,0-0,73-56,0-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Tresean Gore,Tresean Gore,Josh Fremd,0-0,10-24,3-0,1-0,Middleweight,SUB-Guillotine-Choke,2,0:49
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Khalil Rountree Jr.,Khalil Rountree Jr.,Dustin Jacoby,0-0,85-120,0-0,0-0,Light Heavyweight,S-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Roman Dolidze,Roman Dolidze,Phil Hawes,1-0,18-11,0-1,1-0,Middleweight,KO/TKO-Punches,1,4:09
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Marcos Rogerio de Lima,Marcos Rogerio de Lima,Andrei Arlovski,1-0,6-2,0-0,1-0,Heavyweight,SUB-Rear-Naked-Choke,1,1:50
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",JunYong Park,JunYong Park,Joseph Holmes,0-0,18-20,2-0,2-0,Middleweight,SUB-Rear-Naked-Choke,2,3:04
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Steve Garcia,Steve Garcia,Chase Hooper,3-0,29-10,0-0,0-0,Featherweight,KO/TKO-Punches,1,1:32
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Cody Durden,Cody Durden,Carlos Mota,0-0,17-12,4-0,0-1,Flyweight,U-DEC,3,5:00
UFC Fight Night: Kattar vs. Allen,"October 29, 2022",Christian Rodriguez,Christian Rodriguez,Joshua Weems,0-0,9-18,0-2,1-0,Bantamweight,SUB-Anaconda-Choke,1,4:07
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Islam Makhachev,Islam Makhachev,Charles Oliveira,1-0,30-19,2-0,1-0,Lightweight,SUB-Arm-Triangle,2,3:16
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Aljamain Sterling,Aljamain Sterling,TJ Dillashaw,0-0,72-8,5-0,2-0,Bantamweight,KO/TKO-Punches,2,3:44
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Sean O'Malley,Sean O'Malley,Petr Yan,0-0,84-58,0-6,0-0,Bantamweight,S-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Beneil Dariush,Beneil Dariush,Mateusz Gamrot,1-0,59-33,0-4,0-0,Lightweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Manon Fiorot,Manon Fiorot,Katlyn Chookagian,0-0,98-76,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Belal Muhammad,Belal Muhammad,Sean Brady,0-0,80-58,0-0,0-0,Welterweight,KO/TKO-Punches,2,4:47
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Caio Borralho,Caio Borralho,Makhmud Muradov,0-0,19-14,1-2,2-0,Middleweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Nikita Krylov,Nikita Krylov,Volkan Oezdemir,0-0,57-42,7-1,1-0,Light Heavyweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Abubakar Nurmagomedov,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,0-0,40-38,1-1,0-0,Welterweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Armen Petrosyan,Armen Petrosyan,AJ Dobson,0-0,118-58,0-3,0-0,Middleweight,U-DEC,3,5:00
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Muhammad Mokaev,Muhammad Mokaev,Malcolm Gordon,0-0,21-17,6-1,1-1,Flyweight,SUB-Armbar,3,4:26
UFC 280: Oliveira vs. Makhachev,"October 22, 2022",Karol Rosa,Karol Rosa,Lina Lansberg,0-1,54-36,3-0,0-0,Women's Bantamweight,M-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Alexa Grasso,Alexa Grasso,Viviane Araujo,0-0,153-126,0-2,0-0,Women's Flyweight,U-DEC,5,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Jonathan Martinez,Jonathan Martinez,Cub Swanson,2-0,62-51,0-1,0-0,Bantamweight,KO/TKO-Kick,2,4:19
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Dusko Todorovic,Dusko Todorovic,Jordan Wright,0-0,61-25,0-3,0-1,Middleweight,KO/TKO-Elbows,2,3:12
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Raphael Assuncao,Raphael Assuncao,Victor Henry,0-0,60-55,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Alonzo Menifield,Alonzo Menifield,Misha Cirkunov,1-0,8-5,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,1:28
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Mana Martinez,Mana Martinez,Brandon Davis,2-0,87-76,1-1,0-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Jacob Malkoun,Jacob Malkoun,Nick Maximov,0-0,83-34,9-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Joanderson Brito,Joanderson Brito,Lucas Alexander,0-0,4-1,2-0,1-0,Featherweight,SUB-Rear-Naked-Choke,1,2:02
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Piera Rodriguez,Piera Rodriguez,Sam Hughes,0-0,83-69,5-0,0-0,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Tatsuro Taira,Tatsuro Taira,CJ Vergara,0-0,22-19,3-0,2-0,Flyweight,SUB-Armbar,2,4:19
UFC Fight Night: Grasso vs. Araujo,"October 15, 2022",Pete Rodriguez,Pete Rodriguez,Mike Jackson,1-0,22-10,0-0,0-0,Welterweight,KO/TKO-Knee,1,1:33
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Yan Xiaonan,Yan Xiaonan,Mackenzie Dern,0-0,113-61,0-2,0-2,Women's Strawweight,M-DEC,5,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Randy Brown,Randy Brown,Francisco Trinaldo,1-0,60-40,0-1,1-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Raoni Barcelos,Raoni Barcelos,Trevin Jones,1-0,73-11,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Sodiq Yusuff,Sodiq Yusuff,Don Shainis,0-0,9-3,0-0,1-0,Featherweight,SUB-Guillotine-Choke,1,0:30
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Mike Davis,Mike Davis,Viacheslav Borshchev,0-0,65-63,9-0,1-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Daniel Santos,Daniel Santos,John Castaneda,1-1,69-57,2-3,0-0,Catch Weight,KO/TKO-Knee,2,4:28
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Ilir Latifi,Ilir Latifi,Aleksei Oleinik,0-0,38-28,3-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Joaquim Silva,Joaquim Silva,Jesse Ronson,1-0,45-39,0-0,0-0,Lightweight,KO/TKO-Flying-Knee,2,3:08
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Brendan Allen,Brendan Allen,Krzysztof Jotko,0-0,3-3,1-0,1-0,Middleweight,SUB-Rear-Naked-Choke,1,4:17
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Chelsea Chandler,Chelsea Chandler,Julija Stoliarenko,0-0,38-12,0-1,0-0,Catch Weight,KO/TKO-Punches,1,4:15
UFC Fight Night: Dern vs. Yan,"October 01, 2022",Guido Cannetti,Guido Cannetti,Randy Costa,0-0,8-2,1-0,1-0,Bantamweight,SUB-Rear-Naked-Choke,1,1:04
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Cory Sandhagen,Cory Sandhagen,Song Yadong,0-0,94-54,1-2,0-0,Bantamweight,KO/TKO,4,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Gregory Rodrigues,Gregory Rodrigues,Chidi Njokuani,1-0,48-44,1-0,0-0,Middleweight,KO/TKO-Punches,2,1:27
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Andre Fili,Andre Fili,Bill Algeo,0-0,59-81,1-0,2-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Joe Pyfer,Joe Pyfer,Alen Amedovski,1-0,14-11,0-0,0-0,Middleweight,KO/TKO-Punch,1,3:55
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Rodrigo Nascimento,Rodrigo Nascimento,Tanner Boser,0-0,36-62,3-0,1-0,Heavyweight,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Anthony Hernandez,Anthony Hernandez,Marc-Andre Barriault,0-0,39-25,8-0,2-0,Middleweight,SUB-Arm-Triangle,3,1:53
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Damon Jackson,Damon Jackson,Pat Sabatini,0-0,11-1,1-0,0-0,Featherweight,KO/TKO-Punches,1,1:09
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Trevin Giles,Trevin Giles,Louis Cosce,0-0,25-10,2-1,0-1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Loma Lookboonmee,Loma Lookboonmee,Denise Gomes,0-0,48-19,4-0,0-3,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Trey Ogden,Trey Ogden,Daniel Zellhuber,0-0,71-52,1-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Gillian Robertson,Gillian Robertson,Mariya Agapova,0-0,4-39,3-0,1-1,Women's Flyweight,SUB-Rear-Naked-Choke,2,2:19
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Javid Basharat,Javid Basharat,Tony Gravely,0-0,80-33,2-2,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Song,"September 17, 2022",Nikolas Motta,Nikolas Motta,Cameron VanCamp,1-0,24-15,0-0,0-0,Lightweight,KO/TKO-Punch,1,3:49
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Nate Diaz,Nate Diaz,Tony Ferguson,0-0,101-80,0-1,1-0,Welterweight,SUB-Guillotine-Choke,4,2:52
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Khamzat Chimaev,Khamzat Chimaev,Kevin Holland,0-0,0-0,2-0,2-0,Catch Weight,SUB-D'Arce-Choke,1,2:13
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Daniel Rodriguez,Daniel Rodriguez,Li Jingliang,0-0,88-78,0-1,0-0,Catch Weight,S-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Irene Aldana,Irene Aldana,Macy Chiasson,1-0,37-39,0-3,2-0,Catch Weight,KO/TKO-Kick,3,2:21
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Johnny Walker,Johnny Walker,Ion Cutelaba,0-0,3-3,1-1,3-0,Light Heavyweight,SUB-Rear-Naked-Choke,1,4:37
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Julian Erosa,Julian Erosa,Hakeem Dawodu,0-0,92-74,2-0,0-0,Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Jailton Almeida,Jailton Almeida,Anton Turkalj,0-0,17-1,3-0,2-0,Catch Weight,SUB-Rear-Naked-Choke,1,4:27
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Denis Tiuliulin,Denis Tiuliulin,Jamie Pickett,2-0,73-60,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:52
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Chris Barnett,Chris Barnett,Jake Collier,0-1,54-51,0-1,0-1,Heavyweight,KO/TKO-Punches,2,2:24
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Norma Dumont,Norma Dumont,Danyelle Wolf,1-0,52-20,2-0,0-0,Women's Featherweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Alatengheili,Alatengheili,Chad Anheliger,0-0,49-39,2-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Elise Reed,Elise Reed,Melissa Martinez,1-0,38-45,3-1,0-0,Women's Strawweight,U-DEC,3,5:00
UFC 279: Diaz vs. Ferguson,"September 10, 2022",Yohan Lainesse,Yohan Lainesse,Darian Weeks,0-0,23-44,0-1,0-0,Welterweight,S-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Ciryl Gane,Ciryl Gane,Tai Tuivasa,1-1,110-29,0-0,0-0,Heavyweight,KO/TKO-Punches,3,4:23
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Robert Whittaker,Robert Whittaker,Marvin Vettori,0-0,74-33,1-0,0-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nassourdine Imavov,Nassourdine Imavov,Joaquin Buckley,0-0,51-46,2-0,2-0,Middleweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Roman Kopylov,Roman Kopylov,Alessio Di Chirico,1-0,59-39,0-0,0-0,Middleweight,KO/TKO-Punches,3,1:09
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",William Gomis,William Gomis,Jarno Errens,0-0,32-20,3-0,0-1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nathaniel Wood,Nathaniel Wood,Charles Jourdain,0-0,97-86,5-1,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Abus Magomedov,Abus Magomedov,Dustin Stoltzfus,1-0,7-0,0-0,0-0,Middleweight,KO/TKO-Punches,1,0:19
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Nasrat Haqparast,Nasrat Haqparast,John Makdessi,1-0,64-73,2-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Fares Ziam,Fares Ziam,Michal Figlak,0-0,60-28,3-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Benoit Saint Denis,Benoit Saint Denis,Gabriel Miranda,3-0,42-20,1-1,0-0,Lightweight,KO/TKO-Punch,2,0:16
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Cristian Quinonez,Cristian Quinonez,Khalid Taha,0-0,19-6,0-0,0-0,Bantamweight,KO/TKO-Punches,1,3:15
UFC Fight Night: Gane vs. Tuivasa,"September 03, 2022",Stephanie Egger,Stephanie Egger,Ailin Perez,0-0,15-16,2-1,1-0,Women's Featherweight,SUB-Rear-Naked-Choke,2,4:54
UFC 278: Usman vs. Edwards,"August 20, 2022",Leon Edwards,Leon Edwards,Kamaru Usman,1-0,55-83,1-5,1-0,Welterweight,KO/TKO-Kick,5,4:04
UFC 278: Usman vs. Edwards,"August 20, 2022",Paulo Costa,Paulo Costa,Luke Rockhold,0-0,73-51,2-1,0-0,Middleweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Merab Dvalishvili,Merab Dvalishvili,Jose Aldo,0-0,57-38,0-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Lucie Pudilova,Lucie Pudilova,Wu Yanan,0-0,39-26,2-0,1-0,Women's Bantamweight,KO/TKO-Elbows,2,4:04
UFC 278: Usman vs. Edwards,"August 20, 2022",Tyson Pedro,Tyson Pedro,Harry Hunsucker,1-0,6-2,0-0,0-0,Light Heavyweight,KO/TKO-Kick,1,1:05
UFC 278: Usman vs. Edwards,"August 20, 2022",Marcin Tybura,Marcin Tybura,Alexandr Romanov,0-0,47-40,0-2,0-0,Heavyweight,M-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Jared Gordon,Jared Gordon,Leonardo Santos,0-0,116-36,0-0,0-0,Lightweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Draw,Sean Woodson,Luis Saldana,0-2,73-91,0-1,1-0,Featherweight,S-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Ange Loosa,Ange Loosa,AJ Fletcher,0-0,129-87,2-0,0-0,Welterweight,U-DEC,3,5:00
UFC 278: Usman vs. Edwards,"August 20, 2022",Amir Albazi,Amir Albazi,Francisco Figueiredo,0-0,12-11,2-0,1-0,Flyweight,SUB-Rear-Naked-Choke,1,4:34
UFC 278: Usman vs. Edwards,"August 20, 2022",Aoriqileng,Aoriqileng,Jay Perrin,0-0,72-88,0-3,0-0,Bantamweight,U-DEC,3,5:00
